城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","越秀区","Java Delveloper_00038-04","15k-21k","经验5-10年 / 本科","友邦科技","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“NA”"
"广州","越秀区","Java开发工程师-越秀","13k-19k","经验3-5年 / 本科","煜晨信息","软件开发 / 不需要融资 / 50-150人","","“五险一金，餐补，下午茶”"
"广州","越秀区","Java中级工程师","13k-17k","经验3-5年 / 本科","深圳飞沃拜特技术有限公司","","","""“五险一金"
"广州","越秀区","高级java开发工程师","25k-30k","经验5-10年 / 本科","中湘科技","""软件服务｜咨询","IT技术服务｜咨询","营销服务｜咨询 / D轮及以上 / 150-500人"""
"广州","越秀区","""开发实习生（java/","","net/安卓/前端）""","2k-4k经验在校/应届 / 大专","普睿德利","""IT技术服务｜咨询","软件服务｜咨询"
"广州","越秀区","java开发工程师","10k-18k","经验1-3年 / 本科","毅进科技","IT技术服务｜咨询 / 不需要融資 / 50-150人","","“外企文化 不考勤 五险一金 地铁上盖”"
"广州","越秀区","Java高级开发工程师","9k-14k","经验5-10年 / 本科","八斗科技","""数据服务｜咨询","区块链 / 未融资 / 15-50人""",""
"广州","越秀区","java开发工程师","10k-18k","经验1-3年 / 本科","安隽信息","""软件服务｜咨询","居住服务 / 未融资 / 50-150人""",""
"广州","越秀区","java开发工程师","9k-13k","经验在校/应届 / 本科","万达宝软件","软件开发 / 不需要融资 / 150-500人","","“五险一金 带薪年假 专业培训”"
"广州","越秀区","java开发工程师","4k-7k","经验在校/应届 / 本科","广东智源","""软件服务｜咨询","IT技术服务｜咨询 / 不需要融资 / 50-150人""",""
"广州","越秀区","java开发工程师","15k-30k","经验不限 / 本科","外企德科人力资源服务","企业服务 / 未融资 / 2000人以上","","“个人成长快 导师制 晋升透明”"
"广州","越秀区","java开发工程师","20k-35k","经验5-10年 / 本科","鼎猎通","""工具类产品","IT技术服务｜咨询","专业服务｜咨询 / 不需要融资 / 50-150人"""
"广州","越秀区","java架构师","15k-30k","经验5-10年 / 本科","泰格永睿咨询","专业服务｜咨询 / 不需要融资 / 15-50人","","“与屈臣氏项目组联合招聘”"
"广州","越秀区","高级Java开发工程师","14k-20k","经验5-10年 / 本科","远行科技","IT技术服务｜咨询 / 上市公司 / 50-150人","","“五险一金，节假日福利，生日福利，交通补贴等”"
"广州","越秀区","java开发工程师","20k-25k","经验5-10年 / 大专","冠尚珠宝","电商平台 / 不需要融资 / 500-2000人","","“行业top企业，年终奖”"
"广州","越秀区","JAVA工程师","6k-10k","经验1-3年 / 大专","广东鸿正","""硬件","其他 / 未融资 / 50-150人""",""
